eval,pooled,static,passed,obj,x0,x1,x2,x3
1,44.5610,43.2400,1,44.5610,0.90000,0.17000,0.30000,0.10000
2,42.9000,41.8940,0,-57.1000,1.92699,0.31036,1.11891,-0.09347
3,42.9240,36.2140,0,-57.0760,0.63921,0.56253,0.94421,0.15212
4,43.0250,44.3280,1,43.0250,2.72152,-0.18212,0.36877,0.08790
5,41.3270,44.4490,1,41.3270,2.51474,-0.15885,1.45709,-0.18808
6,44.4440,44.7200,1,44.4440,0.34631,-0.03400,0.67789,0.11160
7,41.8200,39.6990,0,-58.1800,2.95139,0.53953,0.73290,0.42117
8,43.6610,40.2370,0,-56.3390,2.89244,0.46440,0.41782,0.02007
9,43.0130,43.4710,1,43.0130,0.80445,0.12755,0.91984,0.36792
10,44.0240,43.8550,1,44.0240,2.11968,0.10909,0.53504,0.01179
11,40.0530,40.1820,0,-59.9470,1.53636,0.43175,1.26340,0.48472
12,42.9330,44.0780,1,42.9330,2.01433,0.06093,0.64995,-0.13247
13,40.7990,42.4170,0,-59.2010,1.80508,0.26512,1.30081,0.44952
14,43.5290,42.9330,0,-56.4710,1.17408,0.22740,0.78496,0.30713
15,42.4400,39.5090,0,-57.5600,1.66659,0.49882,1.22591,0.29585
16,41.5240,42.2790,0,-58.4760,0.55006,0.20922,0.97781,0.47034
17,44.3600,44.3530,1,44.3600,0.60105,0.04042,0.23436,-0.04809
18,43.7520,44.6660,1,43.7520,1.33911,-0.01463,1.07644,0.04345
19,42.5050,34.2070,0,-57.4950,0.42012,0.59016,0.88647,0.21822
20,42.3830,44.4530,1,42.3830,2.25175,-0.10186,1.45433,-0.02994
21,43.4590,43.3360,1,43.4590,0.81623,0.15633,1.36060,0.13115
22,42.2240,40.4580,0,-57.7760,1.28438,0.40050,0.83592,0.40914
23,42.8450,41.3710,0,-57.1550,2.59695,0.33163,1.04164,0.26143
24,41.7360,40.7260,0,-58.2640,2.20485,0.39291,1.40733,0.32510
25,44.3540,42.2110,0,-55.6460,1.01349,0.27800,0.22214,0.07209
26,42.4990,44.6480,1,42.4990,1.90116,-0.14041,0.59045,0.38127
27,44.0670,44.6130,1,44.0670,1.11102,0.01421,0.12637,-0.07355
28,43.2760,43.3390,1,43.2760,1.57904,0.17776,0.30904,-0.14468
29,43.0620,39.8280,0,-56.9380,2.82122,0.50744,0.45082,0.25265
30,43.2290,44.2950,1,43.2290,2.37449,-0.05502,0.33894,0.18213
31,44.1630,43.8890,1,44.1630,0.93466,0.09177,0.16289,0.19461
32,42.4870,41.1440,0,-57.5130,1.48027,0.37323,1.18627,-0.15862
33,44.2060,42.8630,0,-55.7940,0.61201,0.17086,0.48868,0.15326
34,41.4070,43.1800,0,-58.5930,0.46051,0.10477,1.01663,0.47767
35,43.1090,36.2140,0,-56.8910,0.63921,0.56253,0.10231,0.15212
36,43.2580,41.2850,0,-56.7420,2.72152,0.33764,0.44351,0.20306
37,42.4920,42.4350,0,-57.5080,0.74770,0.21799,1.45709,-0.12289
38,43.0080,38.8000,0,-56.9920,0.52402,0.44030,1.11286,0.11160
39,43.4210,43.3620,1,43.4210,1.54396,0.17736,0.30858,-0.13204
40,44.2390,42.4700,0,-55.7610,1.45739,0.26412,0.62071,0.01028
41,43.6570,42.3650,0,-56.3430,1.50803,0.27222,0.91984,-0.01463
42,44.0570,40.2340,0,-55.9430,1.66062,0.43517,0.51474,0.01179
43,42.8430,40.2290,0,-57.1570,1.76630,0.43175,1.26340,-0.05701
44,42.8970,44.5630,1,42.8970,1.81657,-0.05018,0.70547,-0.13247
45,43.2190,41.1530,0,-56.7810,0.91313,0.34149,1.30081,0.11840
46,43.4050,42.3200,0,-56.5950,0.69988,0.22740,0.78496,0.30713
47,42.7610,37.8660,0,-57.2390,1.66520,0.59344,0.11116,0.29585
48,43.7390,44.8250,1,43.7390,1.38747,-0.07823,0.15259,0.24890
49,43.3500,37.9340,0,-56.6500,0.62223,0.48965,0.84584,0.06157
50,44.0270,44.4440,1,44.0270,1.33911,0.03430,0.43547,0.19465
51,44.4870,44.6520,1,44.4870,0.45436,-0.01050,0.12677,0.08146
52,43.3430,39.3870,0,-56.6570,2.32776,0.54177,0.74301,-0.02994
53,43.7090,40.6670,0,-56.2910,0.95980,0.37218,0.92457,0.13115
54,43.3900,40.3780,0,-56.6100,1.18799,0.40050,1.07467,0.04674
55,43.1260,32.8200,0,-56.8740,0.32016,0.59319,0.53892,0.02638
56,43.4420,38.5680,0,-56.5580,0.47160,0.44635,0.81175,0.13314
57,44.4290,43.1090,0,-55.5710,0.61981,0.12778,0.22214,0.07209
58,42.9700,42.4360,0,-57.0300,1.35926,0.26990,0.66124,0.38127
59,44.3000,44.3190,1,44.3000,1.34607,0.05958,0.12637,0.09959
60,43.9600,44.6300,1,43.9600,1.06310,0.01085,0.30904,-0.09682
61,42.2320,39.6270,0,-57.7680,1.83699,0.50744,1.10608,0.34929
62,43.0700,44.2530,1,43.0700,2.14904,-0.01362,0.49216,-0.11294
63,44.1080,44.0680,1,44.1080,1.32039,0.09177,0.38242,-0.06019
64,42.7950,43.7440,1,42.7950,1.71962,0.14759,0.92409,-0.16443
65,43.3310,35.7130,0,-56.6690,0.64100,0.58268,0.24689,0.10000
66,42.6490,44.3890,1,42.6490,2.15685,-0.07838,1.11891,-0.09347
67,43.1230,44.3590,1,43.1230,1.69393,0.02848,1.46411,0.15212
68,43.9810,39.0920,0,-56.0190,1.08217,0.45869,0.56403,0.08790
