eval,pooled,static,passed,obj,x0,x1,x2,x3,x4,x5,x6,x7
1,44.5610,43.2400,1,44.5610,0.90000,0.17000,0.00000,0.00000,0.30000,0.10000,0.00000,0.00000
2,43.1000,44.7790,1,43.1000,0.99646,-0.18570,0.46037,-0.41663,0.56281,0.35560,-0.73948,-0.64309
3,43.5940,43.8110,1,43.5940,2.80410,0.03859,0.43437,-0.05403,0.34459,0.00504,-0.12821,0.27268
4,41.5190,44.5690,1,41.5190,1.93257,-0.09126,-0.16910,0.39155,0.20425,0.46105,-0.17150,-0.95541
5,42.7030,43.0230,0,-57.2970,0.43636,0.12580,-0.04381,0.05272,1.32295,0.28777,0.08968,-0.10540
6,44.3660,44.5220,1,44.3660,0.43255,-0.03263,0.90662,-0.17856,0.42490,-0.05832,0.86666,-0.17046
7,43.2300,38.0470,0,-56.7700,1.19429,0.51698,0.81843,-0.92356,0.54372,0.19588,0.16991,0.47934
8,43.1120,39.6750,0,-56.8880,1.36145,0.42976,0.37942,-0.39977,0.83414,-0.09321,0.52827,0.01800
9,44.1300,44.4460,1,44.1300,1.56942,0.04040,0.56778,-0.63778,0.63983,0.16782,-0.87693,-0.26537
10,40.9460,40.1560,0,-59.0540,2.40228,0.47570,-0.84283,0.89804,0.79326,0.49225,-0.02964,0.22172
11,41.8360,36.6080,0,-58.1640,1.42456,0.58179,-0.55895,-0.97276,0.11483,0.41509,-0.25591,0.50916
12,43.9120,44.4880,1,43.9120,1.48627,0.00829,0.13522,0.31084,0.48961,0.20796,-0.53519,-0.30768
13,44.1200,43.0370,0,-55.8800,1.59347,0.22343,-0.11739,0.47123,0.84200,0.07311,-0.24904,-0.76591
14,41.6870,40.6660,0,-58.3130,2.89249,0.40235,0.17678,0.90267,1.42673,0.36176,-0.43553,0.64648
15,42.4980,39.7420,0,-57.5020,2.61783,0.53279,0.98360,0.10159,0.66474,-0.15101,-0.68956,-0.57657
16,42.1480,44.8330,1,42.1480,1.29221,-0.05493,-0.35855,-0.28017,1.17509,0.25961,0.73152,-0.81129
17,41.6870,37.0180,0,-58.3130,1.08138,0.55724,0.23698,-0.59514,1.11316,0.30279,0.12886,-0.54406
18,41.8920,41.5160,0,-58.1080,2.93787,0.29889,0.03610,0.61461,0.15488,-0.16630,-0.97812,0.77392
19,43.6210,42.9410,0,-56.3790,0.33704,0.17408,-0.79906,0.80685,0.94796,0.23868,-0.32764,0.98635
20,42.4670,40.8940,0,-57.5330,2.76357,0.37906,-0.71512,-0.12843,1.22843,-0.02036,0.79909,-0.04654
21,40.1240,42.4470,0,-59.8760,2.14410,0.25856,-0.25931,0.17950,1.45540,0.38600,0.59519,0.11189
22,43.9990,44.4230,1,43.9990,0.72629,-0.00790,0.34952,-0.76912,0.93055,0.05517,0.41270,0.74371
23,41.8590,39.6640,0,-58.1410,2.00855,0.49923,-0.86109,-0.54804,1.21179,0.22445,0.99303,0.06120
24,42.6990,43.6600,1,42.6990,1.14959,0.11003,0.64810,-0.32139,1.25724,0.40899,-0.61718,-0.05659
25,43.6350,43.9550,1,43.6350,1.76677,0.07152,-0.91041,0.25898,0.72638,0.10393,0.36368,-0.44084
26,44.0570,41.7000,0,-55.9430,0.51048,0.20907,0.78089,-0.74699,0.26142,0.14246,-0.55118,0.33792
27,40.9850,44.2860,1,40.9850,2.68228,-0.14335,-0.09499,0.50660,1.03321,0.43332,0.00059,0.38990
28,42.0100,44.9560,1,42.0100,1.69708,-0.12720,0.89865,-0.85650,1.38877,0.31561,0.46388,0.41067
29,43.9200,43.6800,1,43.9200,1.80831,0.15306,0.07605,0.59702,0.75500,0.08522,0.20290,0.55417
30,42.9540,41.3000,0,-57.0460,0.85327,0.34767,0.66409,0.75066,1.47972,0.04417,-0.09253,-0.49530
31,42.7870,40.9790,0,-57.2130,2.38331,0.38051,-0.51304,0.41078,1.12810,0.16498,0.28397,-0.94564
32,42.0300,41.7790,0,-57.9700,2.29248,0.31393,-0.20220,0.67932,1.33715,-0.10076,-0.83677,-0.69193
33,39.6440,44.9370,1,39.6440,0.81658,-0.10863,0.71159,0.04332,0.97586,0.46520,0.93853,-0.74355
