seq,expr_slug,sentence,verdict,note
0005,cars-in-front-of-ours,cars in front of ours,,
0005,cars-in-the-counter-direction-of-ours,cars in the counter direction of ours,,
0005,cars-in-the-same-direction-of-ours,cars in the same direction of ours,,
0005,cars-which-are-braking,cars which are braking,,
0005,counter-direction-cars-in-the-left,counter direction cars in the left,,
0005,counter-direction-vehicles-in-the-left,counter direction vehicles in the left,,
0005,left-cars-in-the-counter-direction-of-ours,left cars in the counter direction of ours,,
0005,left-cars-in-the-same-direction-of-ours,left cars in the same direction of ours,,
0005,left-cars-which-are-parking,left cars which are parking,,
0005,left-vehicles-in-the-counter-direction-of-ours,left vehicles in the counter direction of ours,,
0005,left-vehicles-in-the-same-direction-of-ours,left vehicles in the same direction of ours,,
0005,left-vehicles-which-are-parking,left vehicles which are parking,,
0005,moving-cars,moving cars,,
0005,moving-vehicles,moving vehicles,,
0005,same-direction-cars-in-the-left,same direction cars in the left,,
0005,same-direction-vehicles-in-the-left,same direction vehicles in the left,,
0005,vehicles-in-front-of-ours,vehicles in front of ours,,
0005,vehicles-in-the-counter-direction-of-ours,vehicles in the counter direction of ours,,
0005,vehicles-in-the-same-direction-of-ours,vehicles in the same direction of ours,,
0005,vehicles-which-are-braking,vehicles which are braking,,
0011,cars-in-horizon-direction,cars in horizon direction,,
0011,cars-in-the-counter-direction-of-ours,cars in the counter direction of ours,,
0011,cars-in-the-same-direction-of-ours,cars in the same direction of ours,,
0011,cars-which-are-faster-than-ours,cars which are faster than ours,,
0011,counter-direction-cars-in-the-left,counter direction cars in the left,,
0011,counter-direction-vehicles-in-the-left,counter direction vehicles in the left,,
0011,left-cars-in-the-counter-direction-of-ours,left cars in the counter direction of ours,,
0011,left-cars-which-are-parking,left cars which are parking,,
0011,left-vehicles-in-the-counter-direction-of-ours,left vehicles in the counter direction of ours,,
0011,left-vehicles-which-are-parking,left vehicles which are parking,,
0011,moving-cars,moving cars,,
0011,moving-pedestrian,moving pedestrian,,
0011,moving-vehicles,moving vehicles,,
0011,parking-cars,parking cars,,
0011,parking-vehicles,parking vehicles,,
0011,right-cars-which-are-parking,right cars which are parking,,
0011,right-vehicles-which-are-parking,right vehicles which are parking,,
0011,turning-cars,turning cars,,
0011,turning-vehicles,turning vehicles,,
0011,vehicles-in-horizon-direction,vehicles in horizon direction,,
0011,vehicles-in-the-counter-direction-of-ours,vehicles in the counter direction of ours,,
0011,vehicles-in-the-same-direction-of-ours,vehicles in the same direction of ours,,
0011,vehicles-which-are-faster-than-ours,vehicles which are faster than ours,,
