[2026-03-14 22:59:31,598][train.py][INFO] Start training!
[2026-03-14 22:59:53,065][train.py][INFO] Epoch:[100/140] [99/237] Loss:0.47216
[2026-03-14 23:00:14,103][train.py][INFO] Epoch:[100/140] [199/237] Loss:0.11500
[2026-03-14 23:00:21,905][train.py][INFO] motion_gate: 0.0315 (sigmoid=0.507877)
[2026-03-14 23:00:43,186][train.py][INFO] Epoch:[101/140] [99/237] Loss:0.28352
[2026-03-14 23:01:04,288][train.py][INFO] Epoch:[101/140] [199/237] Loss:0.18325
[2026-03-14 23:01:12,106][train.py][INFO] motion_gate: 0.0886 (sigmoid=0.522127)
[2026-03-14 23:01:33,374][train.py][INFO] Epoch:[102/140] [99/237] Loss:0.25898
[2026-03-14 23:01:54,478][train.py][INFO] Epoch:[102/140] [199/237] Loss:0.24222
[2026-03-14 23:02:02,311][train.py][INFO] motion_gate: 0.1062 (sigmoid=0.526515)
[2026-03-14 23:02:23,619][train.py][INFO] Epoch:[103/140] [99/237] Loss:0.12286
[2026-03-14 23:02:44,765][train.py][INFO] Epoch:[103/140] [199/237] Loss:0.38452
[2026-03-14 23:02:52,573][train.py][INFO] motion_gate: 0.1189 (sigmoid=0.529696)
[2026-03-14 23:03:13,859][train.py][INFO] Epoch:[104/140] [99/237] Loss:0.21780
[2026-03-14 23:03:34,976][train.py][INFO] Epoch:[104/140] [199/237] Loss:0.05846
[2026-03-14 23:03:42,863][train.py][INFO] motion_gate: 0.1217 (sigmoid=0.530394)
[2026-03-14 23:04:04,272][train.py][INFO] Epoch:[105/140] [99/237] Loss:0.05263
[2026-03-14 23:04:25,448][train.py][INFO] Epoch:[105/140] [199/237] Loss:0.52102
[2026-03-14 23:04:33,294][train.py][INFO] motion_gate: 0.1263 (sigmoid=0.531530)
[2026-03-14 23:04:54,654][train.py][INFO] Epoch:[106/140] [99/237] Loss:0.14169
[2026-03-14 23:05:15,815][train.py][INFO] Epoch:[106/140] [199/237] Loss:0.13133
[2026-03-14 23:05:23,676][train.py][INFO] motion_gate: 0.1297 (sigmoid=0.532369)
[2026-03-14 23:05:45,076][train.py][INFO] Epoch:[107/140] [99/237] Loss:0.26925
[2026-03-14 23:06:06,249][train.py][INFO] Epoch:[107/140] [199/237] Loss:0.14568
[2026-03-14 23:06:14,085][train.py][INFO] motion_gate: 0.1619 (sigmoid=0.540394)
[2026-03-14 23:06:35,447][train.py][INFO] Epoch:[108/140] [99/237] Loss:0.14186
[2026-03-14 23:06:56,577][train.py][INFO] Epoch:[108/140] [199/237] Loss:0.15181
[2026-03-14 23:07:04,417][train.py][INFO] motion_gate: 0.2032 (sigmoid=0.550618)
[2026-03-14 23:07:25,753][train.py][INFO] Epoch:[109/140] [99/237] Loss:0.13760
[2026-03-14 23:07:46,926][train.py][INFO] Epoch:[109/140] [199/237] Loss:0.25830
[2026-03-14 23:07:54,867][train.py][INFO] motion_gate: 0.2144 (sigmoid=0.553394)
[2026-03-14 23:08:17,159][train.py][INFO] Epoch:[110/140] [99/237] Loss:0.27831
[2026-03-14 23:08:38,565][train.py][INFO] Epoch:[110/140] [199/237] Loss:0.10451
[2026-03-14 23:08:46,485][train.py][INFO] motion_gate: 0.2188 (sigmoid=0.554484)
[2026-03-14 23:09:08,175][train.py][INFO] Epoch:[111/140] [99/237] Loss:0.11820
[2026-03-14 23:09:29,525][train.py][INFO] Epoch:[111/140] [199/237] Loss:0.06439
[2026-03-14 23:09:37,451][train.py][INFO] motion_gate: 0.2306 (sigmoid=0.557407)
[2026-03-14 23:09:58,973][train.py][INFO] Epoch:[112/140] [99/237] Loss:0.08937
[2026-03-14 23:10:20,145][train.py][INFO] Epoch:[112/140] [199/237] Loss:0.41651
[2026-03-14 23:10:28,579][train.py][INFO] motion_gate: 0.2245 (sigmoid=0.555890)
[2026-03-14 23:10:53,898][train.py][INFO] Epoch:[113/140] [99/237] Loss:0.09641
[2026-03-14 23:11:18,950][train.py][INFO] Epoch:[113/140] [199/237] Loss:0.23074
[2026-03-14 23:11:28,238][train.py][INFO] motion_gate: 0.2271 (sigmoid=0.556527)
[2026-03-14 23:11:53,521][train.py][INFO] Epoch:[114/140] [99/237] Loss:0.09035
[2026-03-14 23:12:18,638][train.py][INFO] Epoch:[114/140] [199/237] Loss:0.30647
[2026-03-14 23:12:27,927][train.py][INFO] motion_gate: 0.2447 (sigmoid=0.560869)
[2026-03-14 23:12:53,229][train.py][INFO] Epoch:[115/140] [99/237] Loss:0.06790
[2026-03-14 23:13:18,312][train.py][INFO] Epoch:[115/140] [199/237] Loss:0.29160
[2026-03-14 23:13:27,609][train.py][INFO] motion_gate: 0.2458 (sigmoid=0.561141)
[2026-03-14 23:13:52,901][train.py][INFO] Epoch:[116/140] [99/237] Loss:0.27897
[2026-03-14 23:14:18,149][train.py][INFO] Epoch:[116/140] [199/237] Loss:0.38127
[2026-03-14 23:14:27,456][train.py][INFO] motion_gate: 0.2451 (sigmoid=0.560966)
[2026-03-14 23:14:52,814][train.py][INFO] Epoch:[117/140] [99/237] Loss:0.11689
[2026-03-14 23:15:17,946][train.py][INFO] Epoch:[117/140] [199/237] Loss:0.11242
[2026-03-14 23:15:27,267][train.py][INFO] motion_gate: 0.2555 (sigmoid=0.563530)
[2026-03-14 23:15:52,597][train.py][INFO] Epoch:[118/140] [99/237] Loss:0.06156
[2026-03-14 23:16:17,799][train.py][INFO] Epoch:[118/140] [199/237] Loss:0.13244
[2026-03-14 23:16:27,121][train.py][INFO] motion_gate: 0.2584 (sigmoid=0.564245)
[2026-03-14 23:16:52,430][train.py][INFO] Epoch:[119/140] [99/237] Loss:0.15049
[2026-03-14 23:17:17,571][train.py][INFO] Epoch:[119/140] [199/237] Loss:0.11091
[2026-03-14 23:17:26,914][train.py][INFO] motion_gate: 0.2653 (sigmoid=0.565941)
[2026-03-14 23:17:52,881][train.py][INFO] Epoch:[120/140] [99/237] Loss:0.08935
[2026-03-14 23:18:18,026][train.py][INFO] Epoch:[120/140] [199/237] Loss:0.18537
[2026-03-14 23:18:27,483][train.py][INFO] motion_gate: 0.2691 (sigmoid=0.566867)
[2026-03-14 23:18:52,772][train.py][INFO] Epoch:[121/140] [99/237] Loss:0.16482
[2026-03-14 23:19:17,886][train.py][INFO] Epoch:[121/140] [199/237] Loss:0.52119
[2026-03-14 23:19:27,192][train.py][INFO] motion_gate: 0.2771 (sigmoid=0.568828)
[2026-03-14 23:19:52,499][train.py][INFO] Epoch:[122/140] [99/237] Loss:0.18931
[2026-03-14 23:20:17,679][train.py][INFO] Epoch:[122/140] [199/237] Loss:0.12626
[2026-03-14 23:20:27,069][train.py][INFO] motion_gate: 0.2796 (sigmoid=0.569448)
[2026-03-14 23:20:52,419][train.py][INFO] Epoch:[123/140] [99/237] Loss:0.15046
[2026-03-14 23:21:17,480][train.py][INFO] Epoch:[123/140] [199/237] Loss:0.13348
[2026-03-14 23:21:26,765][train.py][INFO] motion_gate: 0.2867 (sigmoid=0.571179)
[2026-03-14 23:21:52,028][train.py][INFO] Epoch:[124/140] [99/237] Loss:0.05540
[2026-03-14 23:22:17,197][train.py][INFO] Epoch:[124/140] [199/237] Loss:0.14302
[2026-03-14 23:22:26,507][train.py][INFO] motion_gate: 0.2937 (sigmoid=0.572892)
[2026-03-14 23:22:51,841][train.py][INFO] Epoch:[125/140] [99/237] Loss:0.07923
[2026-03-14 23:23:16,971][train.py][INFO] Epoch:[125/140] [199/237] Loss:0.05131
[2026-03-14 23:23:26,321][train.py][INFO] motion_gate: 0.2991 (sigmoid=0.574227)
[2026-03-14 23:23:51,629][train.py][INFO] Epoch:[126/140] [99/237] Loss:0.05975
[2026-03-14 23:24:16,731][train.py][INFO] Epoch:[126/140] [199/237] Loss:0.10030
[2026-03-14 23:24:26,033][train.py][INFO] motion_gate: 0.3043 (sigmoid=0.575487)
[2026-03-14 23:24:51,409][train.py][INFO] Epoch:[127/140] [99/237] Loss:0.04856
[2026-03-14 23:25:16,573][train.py][INFO] Epoch:[127/140] [199/237] Loss:0.05514
[2026-03-14 23:25:25,873][train.py][INFO] motion_gate: 0.2940 (sigmoid=0.572982)
[2026-03-14 23:25:51,169][train.py][INFO] Epoch:[128/140] [99/237] Loss:0.19907
[2026-03-14 23:26:16,216][train.py][INFO] Epoch:[128/140] [199/237] Loss:0.38685
[2026-03-14 23:26:25,495][train.py][INFO] motion_gate: 0.3117 (sigmoid=0.577297)
[2026-03-14 23:26:50,854][train.py][INFO] Epoch:[129/140] [99/237] Loss:0.37277
[2026-03-14 23:27:15,991][train.py][INFO] Epoch:[129/140] [199/237] Loss:0.28983
[2026-03-14 23:27:25,313][train.py][INFO] motion_gate: 0.3225 (sigmoid=0.579938)
[2026-03-14 23:27:51,317][train.py][INFO] Epoch:[130/140] [99/237] Loss:0.08583
[2026-03-14 23:28:16,375][train.py][INFO] Epoch:[130/140] [199/237] Loss:0.07665
[2026-03-14 23:28:25,692][train.py][INFO] motion_gate: 0.3330 (sigmoid=0.582481)
[2026-03-14 23:28:51,067][train.py][INFO] Epoch:[131/140] [99/237] Loss:0.05785
[2026-03-14 23:29:16,222][train.py][INFO] Epoch:[131/140] [199/237] Loss:0.12950
[2026-03-14 23:29:25,552][train.py][INFO] motion_gate: 0.4054 (sigmoid=0.599980)
[2026-03-14 23:29:50,897][train.py][INFO] Epoch:[132/140] [99/237] Loss:0.23391
[2026-03-14 23:30:16,013][train.py][INFO] Epoch:[132/140] [199/237] Loss:0.39077
[2026-03-14 23:30:25,327][train.py][INFO] motion_gate: 0.4730 (sigmoid=0.616102)
[2026-03-14 23:30:50,728][train.py][INFO] Epoch:[133/140] [99/237] Loss:0.15800
[2026-03-14 23:31:15,870][train.py][INFO] Epoch:[133/140] [199/237] Loss:0.07808
[2026-03-14 23:31:25,175][train.py][INFO] motion_gate: 0.4819 (sigmoid=0.618205)
[2026-03-14 23:31:50,531][train.py][INFO] Epoch:[134/140] [99/237] Loss:0.44400
[2026-03-14 23:32:15,666][train.py][INFO] Epoch:[134/140] [199/237] Loss:0.12785
[2026-03-14 23:32:24,980][train.py][INFO] motion_gate: 0.4895 (sigmoid=0.619984)
[2026-03-14 23:32:50,297][train.py][INFO] Epoch:[135/140] [99/237] Loss:0.07816
[2026-03-14 23:33:15,405][train.py][INFO] Epoch:[135/140] [199/237] Loss:0.10620
[2026-03-14 23:33:24,742][train.py][INFO] motion_gate: 0.4990 (sigmoid=0.622215)
[2026-03-14 23:33:50,077][train.py][INFO] Epoch:[136/140] [99/237] Loss:0.30189
[2026-03-14 23:34:15,293][train.py][INFO] Epoch:[136/140] [199/237] Loss:0.08241
[2026-03-14 23:34:24,599][train.py][INFO] motion_gate: 0.5075 (sigmoid=0.624223)
[2026-03-14 23:34:49,987][train.py][INFO] Epoch:[137/140] [99/237] Loss:0.18622
